x,y,state,turn,Blue Points,Red Points
8,8,state,turn,0,0
7,5,S,Blue,0,0
7,4,S,Red,0,0
0,3,S,Blue,0,0
3,5,O,Red,0,0
5,4,O,Blue,0,0
5,1,S,Red,0,0
7,0,S,Blue,0,0
2,0,S,Red,0,0
4,3,O,Blue,0,0
4,6,S,Red,0,0
2,4,S,Blue,1,0
0,7,O,Blue,1,0
1,0,S,Red,1,0
0,1,O,Blue,1,0
6,5,S,Red,1,0
6,2,S,Blue,1,0
2,5,O,Red,1,0
2,6,S,Blue,2,0
4,4,S,Blue,3,0
6,4,S,Blue,4,0
4,2,S,Blue,5,0
3,6,O,Blue,6,0
5,5,O,Blue,7,0
3,4,O,Blue,8,0
5,2,O,Blue,9,0
3,3,O,Blue,10,0
2,2,S,Blue,11,0
2,3,O,Blue,12,0
5,3,O,Blue,14,0
2,1,O,Blue,15,0
4,5,O,Blue,16,0
3,2,S,Blue,17,0
1,4,S,Blue,18,0
6,6,S,Blue,19,0
3,1,O,Blue,20,0
4,0,S,Blue,21,0
3,0,S,Blue,22,0
4,1,O,Blue,23,0
6,3,O,Blue,24,0
5,6,O,Blue,25,0
5,0,S,Blue,26,0
6,0,O,Blue,27,0
4,7,S,Blue,28,0
1,2,S,Blue,29,0
1,3,O,Blue,30,0
1,1,O,Blue,31,0
0,0,S,Blue,32,0
0,4,S,Blue,33,0
0,2,S,Blue,36,0
1,5,O,Blue,37,0
1,6,S,Blue,38,0
0,6,S,Blue,39,0
0,5,O,Blue,40,0
1,7,S,Blue,40,0
6,1,S,Red,40,0
2,7,S,Blue,40,0
3,7,O,Red,40,1
6,7,S,Red,40,1
5,7,O,Blue,41,1
7,6,O,Blue,41,1
7,7,S,Red,41,2
7,3,O,Red,41,2
7,2,S,Blue,42,2
7,1,O,Blue,43,2
1,0,O,Blue,43,2
5,3,S,Red,43,2
0,4,S,Blue,43,2
7,2,S,Red,43,2
