x,y,state,turn,Blue Points,Red Points
6,6,state,turn,0,0
1,2,S,Blue,0,0
3,1,S,Red,0,0
2,4,S,Blue,0,0
4,3,S,Red,0,0
0,0,S,Blue,0,0
6,3,O,Red,0,0
5,1,O,Blue,0,0
2,0,O,Red,0,0
4,1,S,Blue,0,0
6,1,S,Red,0,1
4,2,O,Red,0,2
5,3,S,Red,0,3
5,2,O,Red,0,4
3,3,S,Red,0,4
7,3,S,Blue,1,4
3,2,O,Blue,2,4
4,5,O,Blue,2,4
2,3,S,Red,2,5
2,1,S,Red,2,6
2,2,O,Red,2,7
1,1,S,Red,2,8
1,3,S,Red,2,9
5,4,O,Red,2,9
6,5,S,Blue,3,9
5,5,S,Blue,4,9
3,5,S,Blue,5,9
3,4,O,Blue,6,9
4,4,S,Blue,7,9
6,4,S,Blue,8,9
2,5,S,Blue,9,9
4,6,S,Blue,10,9
6,2,S,Blue,11,9
4,0,S,Blue,12,9
1,7,S,Blue,12,9
2,6,O,Red,12,10
2,7,S,Red,12,11
7,6,S,Red,12,11
7,0,S,Blue,12,11
0,6,S,Red,12,11
1,5,O,Blue,13,11
7,7,S,Blue,13,11
6,6,O,Red,13,12
5,6,S,Red,13,13
6,7,S,Red,13,14
0,5,S,Red,13,15
1,4,O,Red,13,16
0,4,S,Red,13,17
0,3,S,Red,13,18
4,7,S,Red,13,18
3,7,O,Blue,14,18
5,7,O,Blue,15,18
3,6,O,Blue,16,18
1,6,O,Blue,17,18
0,7,S,Blue,18,18
7,1,S,Blue,18,18
7,2,O,Red,18,19
0,2,O,Red,18,19
0,1,S,Blue,19,19
1,0,S,Blue,19,19
3,0,S,Red,19,20
5,0,O,Red,19,20
6,0,S,Blue,20,20
